tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-10-02,DKI3 (Jagakarsa),73,13,---,106,11,106,O3,TIDAK SEHAT
2019-10-03,DKI3 (Jagakarsa),70,13,19,81,10,81,O3,SEDANG
2019-10-04,DKI3 (Jagakarsa),61,12,19,69,8,69,O3,SEDANG
2019-10-05,DKI3 (Jagakarsa),59,13,14,71,7,71,O3,SEDANG
2019-10-06,DKI3 (Jagakarsa),53,12,10,76,6,76,O3,SEDANG
2019-10-07,DKI3 (Jagakarsa),57,11,15,85,11,85,O3,SEDANG
2019-10-08,DKI3 (Jagakarsa),59,8,22,102,13,102,O3,TIDAK SEHAT
2019-10-09,DKI3 (Jagakarsa),50,11,16,130,9,130,O3,TIDAK SEHAT
2019-10-10,DKI3 (Jagakarsa),58,12,20,141,18,141,O3,TIDAK SEHAT
2019-10-11,DKI3 (Jagakarsa),56,12,19,107,17,107,O3,TIDAK SEHAT
2019-10-12,DKI3 (Jagakarsa),68,11,31,87,11,87,O3,SEDANG
2019-10-13,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2019-10-14,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2019-10-15,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2019-10-16,DKI3 (Jagakarsa),56,12,17,133,6,133,O3,TIDAK SEHAT
2019-10-17,DKI3 (Jagakarsa),58,11,13,144,9,144,O3,TIDAK SEHAT
2019-10-18,DKI3 (Jagakarsa),51,11,14,104,14,104,O3,TIDAK SEHAT
2019-10-19,DKI3 (Jagakarsa),58,13,19,78,9,78,O3,SEDANG
2019-10-20,DKI3 (Jagakarsa),53,11,22,88,9,88,O3,SEDANG
2019-10-21,DKI3 (Jagakarsa),55,13,16,68,7,68,O3,SEDANG
2019-10-22,DKI3 (Jagakarsa),61,12,13,73,7,73,O3,SEDANG
2019-10-23,DKI3 (Jagakarsa),56,13,9,88,8,88,O3,SEDANG
2019-10-24,DKI3 (Jagakarsa),61,14,18,129,8,129,O3,TIDAK SEHAT
2019-10-25,DKI3 (Jagakarsa),56,13,19,113,9,113,O3,TIDAK SEHAT
2019-10-26,DKI3 (Jagakarsa),55,14,19,107,11,107,O3,TIDAK SEHAT
2019-10-27,DKI3 (Jagakarsa),58,14,23,91,7,91,O3,SEDANG
2019-10-28,DKI3 (Jagakarsa),52,12,21,121,9,121,O3,TIDAK SEHAT
2019-10-29,DKI3 (Jagakarsa),55,13,23,97,12,97,O3,SEDANG
2019-10-30,DKI3 (Jagakarsa),49,13,21,142,12,142,O3,TIDAK SEHAT
2019-10-31,DKI3 (Jagakarsa),46,15,17,120,11,120,O3,TIDAK SEHAT
2019-10-01,DKI4 (Lubang Buaya),134,33,17,103,10,134,PM10,TIDAK SEHAT
2019-10-02,DKI4 (Lubang Buaya),77,34,8,115,9,115,O3,TIDAK SEHAT
2019-10-03,DKI4 (Lubang Buaya),77,31,8,78,8,78,O3,SEDANG
2019-10-04,DKI4 (Lubang Buaya),71,33,11,63,8,71,PM10,SEDANG
2019-10-05,DKI4 (Lubang Buaya),73,33,7,63,9,73,PM10,SEDANG
2019-10-06,DKI4 (Lubang Buaya),56,31,---,83,5,83,O3,SEDANG
2019-10-07,DKI4 (Lubang Buaya),67,33,8,76,9,76,O3,SEDANG
2019-10-08,DKI4 (Lubang Buaya),90,34,9,84,10,90,PM10,SEDANG
2019-10-09,DKI4 (Lubang Buaya),61,31,---,93,8,93,O3,SEDANG
2019-10-10,DKI4 (Lubang Buaya),63,32,9,94,9,94,O3,SEDANG
2019-10-11,DKI4 (Lubang Buaya),71,33,7,84,11,84,O3,SEDANG
2019-10-12,DKI4 (Lubang Buaya),71,33,---,108,7,108,O3,TIDAK SEHAT
2019-10-13,DKI4 (Lubang Buaya),63,33,---,96,9,96,O3,SEDANG
2019-10-14,DKI4 (Lubang Buaya),79,34,8,84,12,84,O3,SEDANG
2019-10-15,DKI4 (Lubang Buaya),---,32,---,---,---,32,SO2,BAIK
