tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-12-12,DKI3 (Jagakarsa),52,11,---,87,13,87,O3,SEDANG
2019-12-13,DKI3 (Jagakarsa),57,11,22,99,8,99,O3,SEDANG
2019-12-14,DKI3 (Jagakarsa),42,11,23,94,6,94,O3,SEDANG
2019-12-15,DKI3 (Jagakarsa),28,12,18,90,4,90,O3,SEDANG
2019-12-16,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-17,DKI3 (Jagakarsa),52,10,22,64,---,64,O3,SEDANG
2019-12-18,DKI3 (Jagakarsa),30,9,28,93,11,93,O3,SEDANG
2019-12-19,DKI3 (Jagakarsa),43,9,30,90,10,90,O3,SEDANG
2019-12-20,DKI3 (Jagakarsa),54,9,30,99,8,99,O3,SEDANG
2019-12-21,DKI3 (Jagakarsa),55,9,35,100,7,100,O3,SEDANG
2019-12-22,DKI3 (Jagakarsa),---,9,24,76,11,76,O3,SEDANG
2019-12-23,DKI3 (Jagakarsa),45,9,32,58,8,58,O3,SEDANG
2019-12-24,DKI3 (Jagakarsa),39,12,34,81,9,81,O3,SEDANG
2019-12-25,DKI3 (Jagakarsa),35,12,26,66,8,66,O3,SEDANG
2019-12-26,DKI3 (Jagakarsa),---,12,22,78,---,78,O3,SEDANG
2019-12-27,DKI3 (Jagakarsa),42,12,26,82,5,82,O3,SEDANG
2019-12-28,DKI3 (Jagakarsa),42,12,34,61,10,61,O3,SEDANG
2019-12-29,DKI3 (Jagakarsa),51,12,36,55,10,55,O3,SEDANG
2019-12-30,DKI3 (Jagakarsa),61,12,55,76,8,76,O3,SEDANG
2019-12-31,DKI3 (Jagakarsa),52,11,23,55,4,55,O3,SEDANG
2019-12-01,DKI4 (Lubang Buaya),---,34,26,117,7,117,O3,TIDAK SEHAT
2019-12-02,DKI4 (Lubang Buaya),---,35,9,116,5,116,O3,TIDAK SEHAT
2019-12-03,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-04,DKI4 (Lubang Buaya),60,36,12,125,7,125,O3,TIDAK SEHAT
2019-12-05,DKI4 (Lubang Buaya),38,34,12,143,6,143,O3,TIDAK SEHAT
2019-12-06,DKI4 (Lubang Buaya),61,35,14,159,7,159,O3,TIDAK SEHAT
2019-12-07,DKI4 (Lubang Buaya),45,35,9,86,5,86,O3,SEDANG
2019-12-08,DKI4 (Lubang Buaya),---,35,22,120,6,120,O3,TIDAK SEHAT
2019-12-09,DKI4 (Lubang Buaya),51,35,17,104,6,104,O3,TIDAK SEHAT
2019-12-10,DKI4 (Lubang Buaya),---,35,14,91,7,91,O3,SEDANG
2019-12-11,DKI4 (Lubang Buaya),---,37,27,160,9,160,O3,TIDAK SEHAT
2019-12-12,DKI4 (Lubang Buaya),---,36,27,75,7,75,O3,SEDANG
2019-12-13,DKI4 (Lubang Buaya),---,37,14,120,8,120,O3,TIDAK SEHAT
2019-12-14,DKI4 (Lubang Buaya),---,37,13,88,13,88,O3,SEDANG
2019-12-15,DKI4 (Lubang Buaya),63,36,11,84,6,84,O3,SEDANG
2019-12-16,DKI4 (Lubang Buaya),---,36,17,79,8,79,O3,SEDANG
2019-12-17,DKI4 (Lubang Buaya),---,36,8,47,4,47,O3,BAIK
2019-12-18,DKI4 (Lubang Buaya),---,35,18,66,7,66,O3,SEDANG
2019-12-19,DKI4 (Lubang Buaya),64,37,16,96,9,96,O3,SEDANG
2019-12-20,DKI4 (Lubang Buaya),70,38,19,92,11,92,O3,SEDANG
2019-12-21,DKI4 (Lubang Buaya),68,37,24,109,9,109,O3,TIDAK SEHAT
2019-12-22,DKI4 (Lubang Buaya),51,36,13,77,8,77,O3,SEDANG
2019-12-23,DKI4 (Lubang Buaya),52,36,27,---,8,52,PM10,SEDANG
2019-12-24,DKI4 (Lubang Buaya),56,37,16,66,5,66,O3,SEDANG
2019-12-25,DKI4 (Lubang Buaya),58,37,13,46,4,58,PM10,SEDANG
2019-12-26,DKI4 (Lubang Buaya),---,37,14,64,5,64,O3,SEDANG
2019-12-27,DKI4 (Lubang Buaya),55,38,17,84,7,84,O3,SEDANG
2019-12-28,DKI4 (Lubang Buaya),58,37,21,51,8,58,PM10,SEDANG
2019-12-29,DKI4 (Lubang Buaya),64,38,17,61,6,64,PM10,SEDANG
2019-12-30,DKI4 (Lubang Buaya),77,37,26,70,4,77,PM10,SEDANG
2019-12-31,DKI4 (Lubang Buaya),49,37,16,52,5,52,O3,SEDANG
2019-12-01,DKI5 (Kebon Jeruk) Jakarta Barat,54,13,27,99,8,99,O3,SEDANG
