tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-06-04,DKI3 (Jagakarsa),75,11,18,82,9,82,O3,SEDANG
2019-06-05,DKI3 (Jagakarsa),73,11,20,65,9,73,PM10,SEDANG
2019-06-06,DKI3 (Jagakarsa),50,11,10,75,7,75,O3,SEDANG
2019-06-07,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2019-06-08,DKI3 (Jagakarsa),41,10,8,52,---,52,O3,SEDANG
2019-06-09,DKI3 (Jagakarsa),45,11,13,86,---,86,O3,SEDANG
2019-06-10,DKI3 (Jagakarsa),54,11,17,86,---,86,O3,SEDANG
2019-06-11,DKI3 (Jagakarsa),54,7,17,69,---,69,O3,SEDANG
2019-06-12,DKI3 (Jagakarsa),58,10,14,101,---,101,O3,TIDAK SEHAT
2019-06-13,DKI3 (Jagakarsa),67,11,22,100,11,100,O3,SEDANG
2019-06-14,DKI3 (Jagakarsa),60,11,20,98,14,98,O3,SEDANG
2019-06-15,DKI3 (Jagakarsa),54,10,20,112,8,112,O3,TIDAK SEHAT
2019-06-16,DKI3 (Jagakarsa),66,10,24,107,10,107,O3,TIDAK SEHAT
2019-06-17,DKI3 (Jagakarsa),60,11,21,93,8,93,O3,SEDANG
2019-06-18,DKI3 (Jagakarsa),59,13,10,74,9,74,O3,SEDANG
2019-06-19,DKI3 (Jagakarsa),64,13,13,86,14,86,O3,SEDANG
2019-06-20,DKI3 (Jagakarsa),77,12,34,79,16,79,O3,SEDANG
2019-06-21,DKI3 (Jagakarsa),72,12,16,103,10,103,O3,TIDAK SEHAT
2019-06-22,DKI3 (Jagakarsa),76,13,19,122,13,122,O3,TIDAK SEHAT
2019-06-23,DKI3 (Jagakarsa),71,12,17,134,10,134,O3,TIDAK SEHAT
2019-06-24,DKI3 (Jagakarsa),79,13,15,93,11,93,O3,SEDANG
2019-06-25,DKI3 (Jagakarsa),77,13,22,82,11,82,O3,SEDANG
2019-06-26,DKI3 (Jagakarsa),70,13,20,80,14,80,O3,SEDANG
2019-06-27,DKI3 (Jagakarsa),67,13,15,142,11,142,O3,TIDAK SEHAT
2019-06-28,DKI3 (Jagakarsa),64,13,13,143,17,143,O3,TIDAK SEHAT
2019-06-29,DKI3 (Jagakarsa),64,14,13,106,17,106,O3,TIDAK SEHAT
2019-06-30,DKI3 (Jagakarsa),63,14,16,83,12,83,O3,SEDANG
2019-06-01,DKI4 (Lubang Buaya),53,23,13,71,7,71,O3,SEDANG
2019-06-02,DKI4 (Lubang Buaya),56,23,15,82,7,82,O3,SEDANG
2019-06-03,DKI4 (Lubang Buaya),53,23,17,69,8,69,O3,SEDANG
2019-06-04,DKI4 (Lubang Buaya),71,24,19,71,10,71,PM10,SEDANG
2019-06-05,DKI4 (Lubang Buaya),82,25,26,56,12,82,PM10,SEDANG
2019-06-06,DKI4 (Lubang Buaya),51,23,7,55,5,55,O3,SEDANG
2019-06-07,DKI4 (Lubang Buaya),45,24,6,54,5,54,O3,SEDANG
2019-06-08,DKI4 (Lubang Buaya),50,22,9,65,9,65,O3,SEDANG
2019-06-09,DKI4 (Lubang Buaya),48,23,14,85,11,85,O3,SEDANG
2019-06-10,DKI4 (Lubang Buaya),57,23,15,68,9,68,O3,SEDANG
2019-06-11,DKI4 (Lubang Buaya),56,24,19,104,10,104,O3,TIDAK SEHAT
2019-06-12,DKI4 (Lubang Buaya),57,24,18,89,11,89,O3,SEDANG
2019-06-13,DKI4 (Lubang Buaya),79,24,23,148,12,148,O3,TIDAK SEHAT
2019-06-14,DKI4 (Lubang Buaya),73,25,18,71,9,73,PM10,SEDANG
2019-06-15,DKI4 (Lubang Buaya),52,24,18,90,11,90,O3,SEDANG
2019-06-16,DKI4 (Lubang Buaya),61,24,15,91,7,91,O3,SEDANG
2019-06-17,DKI4 (Lubang Buaya),75,25,17,72,11,75,PM10,SEDANG
2019-06-18,DKI4 (Lubang Buaya),62,27,9,59,11,62,PM10,SEDANG
2019-06-19,DKI4 (Lubang Buaya),70,26,19,89,12,89,O3,SEDANG
2019-06-20,DKI4 (Lubang Buaya),84,25,27,88,12,88,O3,SEDANG
2019-06-21,DKI4 (Lubang Buaya),75,27,13,97,11,97,O3,SEDANG
2019-06-22,DKI4 (Lubang Buaya),74,28,18,133,10,133,O3,TIDAK SEHAT
2019-06-23,DKI4 (Lubang Buaya),69,26,18,81,12,81,O3,SEDANG
2019-06-24,DKI4 (Lubang Buaya),72,27,17,90,8,90,O3,SEDANG
2019-06-25,DKI4 (Lubang Buaya),84,26,20,82,14,84,PM10,SEDANG
2019-06-26,DKI4 (Lubang Buaya),73,27,19,67,11,73,PM10,SEDANG
2019-06-27,DKI4 (Lubang Buaya),65,26,25,116,17,116,O3,TIDAK SEHAT
2019-06-28,DKI4 (Lubang Buaya),69,29,17,82,17,82,O3,SEDANG
2019-06-29,DKI4 (Lubang Buaya),62,29,14,85,9,85,O3,SEDANG
2019-06-30,DKI4 (Lubang Buaya),64,27,15,83,8,83,O3,SEDANG
2019-06-01,DKI5 (Kebon Jeruk) Jakarta Barat,63,17,19,89,9,89,O3,SEDANG
2019-06-02,DKI5 (Kebon Jeruk) Jakarta Barat,70,15,22,88,8,88,O3,SEDANG
2019-06-03,DKI5 (Kebon Jeruk) Jakarta Barat,55,15,18,71,8,71,O3,SEDANG
2019-06-04,DKI5 (Kebon Jeruk) Jakarta Barat,72,16,20,61,8,72,PM10,SEDANG
2019-06-05,DKI5 (Kebon Jeruk) Jakarta Barat,58,21,18,50,6,58,PM10,SEDANG
2019-06-06,DKI5 (Kebon Jeruk) Jakarta Barat,44,17,11,55,6,55,O3,SEDANG
2019-06-07,DKI5 (Kebon Jeruk) Jakarta Barat,43,16,11,51,4,51,O3,SEDANG
2019-06-08,DKI5 (Kebon Jeruk) Jakarta Barat,36,13,11,68,4,68,O3,SEDANG
2019-06-09,DKI5 (Kebon Jeruk) Jakarta Barat,47,14,18,98,8,98,O3,SEDANG
2019-06-10,DKI5 (Kebon Jeruk) Jakarta Barat,57,16,19,88,8,88,O3,SEDANG
2019-06-11,DKI5 (Kebon Jeruk) Jakarta Barat,55,15,19,105,9,105,O3,TIDAK SEHAT
2019-06-12,DKI5 (Kebon Jeruk) Jakarta Barat,68,17,18,108,8,108,O3,TIDAK SEHAT
2019-06-13,DKI5 (Kebon Jeruk) Jakarta Barat,70,19,18,96,9,96,O3,SEDANG
2019-06-14,DKI5 (Kebon Jeruk) Jakarta Barat,68,16,20,82,8,82,O3,SEDANG
2019-06-15,DKI5 (Kebon Jeruk) Jakarta Barat,53,15,26,99,11,99,O3,SEDANG
2019-06-16,DKI5 (Kebon Jeruk) Jakarta Barat,57,19,16,88,7,88,O3,SEDANG
2019-06-17,DKI5 (Kebon Jeruk) Jakarta Barat,60,17,24,71,8,71,O3,SEDANG
2019-06-18,DKI5 (Kebon Jeruk) Jakarta Barat,56,21,13,52,9,56,PM10,SEDANG
2019-06-19,DKI5 (Kebon Jeruk) Jakarta Barat,60,21,17,92,11,92,O3,SEDANG
2019-06-20,DKI5 (Kebon Jeruk) Jakarta Barat,78,20,24,99,12,99,O3,SEDANG
2019-06-21,DKI5 (Kebon Jeruk) Jakarta Barat,68,23,17,99,9,99,O3,SEDANG
2019-06-22,DKI5 (Kebon Jeruk) Jakarta Barat,68,25,19,121,9,121,O3,TIDAK SEHAT
2019-06-23,DKI5 (Kebon Jeruk) Jakarta Barat,72,20,20,90,8,90,O3,SEDANG
2019-06-24,DKI5 (Kebon Jeruk) Jakarta Barat,76,24,19,103,12,103,O3,TIDAK SEHAT
2019-06-25,DKI5 (Kebon Jeruk) Jakarta Barat,80,21,25,89,11,89,O3,SEDANG
2019-06-26,DKI5 (Kebon Jeruk) Jakarta Barat,71,23,21,69,10,71,PM10,SEDANG
2019-06-27,DKI5 (Kebon Jeruk) Jakarta Barat,79,23,19,141,10,141,O3,TIDAK SEHAT
2019-06-28,DKI5 (Kebon Jeruk) Jakarta Barat,68,20,17,116,9,116,O3,TIDAK SEHAT
2019-06-29,DKI5 (Kebon Jeruk) Jakarta Barat,63,25,14,84,11,84,O3,SEDANG
2019-06-30,DKI5 (Kebon Jeruk) Jakarta Barat,55,26,13,79,11,79,O3,SEDANG
