tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-04-14,DKI3 (Jagakarsa),38,11,9,112,7,112,O3,TIDAK SEHAT
2019-04-15,DKI3 (Jagakarsa),54,11,19,122,10,122,O3,TIDAK SEHAT
2019-04-16,DKI3 (Jagakarsa),51,11,18,68,11,68,O3,SEDANG
2019-04-17,DKI3 (Jagakarsa),54,10,36,---,12,54,PM10,SEDANG
2019-04-18,DKI3 (Jagakarsa),70,10,21,111,7,111,O3,TIDAK SEHAT
2019-04-19,DKI3 (Jagakarsa),49,10,16,---,8,49,PM10,BAIK
2019-04-20,DKI3 (Jagakarsa),31,10,13,105,6,105,O3,TIDAK SEHAT
2019-04-21,DKI3 (Jagakarsa),60,10,27,110,8,110,O3,TIDAK SEHAT
2019-04-22,DKI3 (Jagakarsa),59,10,20,63,9,63,O3,SEDANG
2019-04-23,DKI3 (Jagakarsa),59,11,12,73,8,73,O3,SEDANG
2019-04-24,DKI3 (Jagakarsa),52,10,11,72,7,72,O3,SEDANG
2019-04-25,DKI3 (Jagakarsa),58,9,40,85,11,85,O3,SEDANG
2019-04-26,DKI3 (Jagakarsa),38,10,11,124,6,124,O3,TIDAK SEHAT
2019-04-27,DKI3 (Jagakarsa),45,10,25,90,9,90,O3,SEDANG
2019-04-28,DKI3 (Jagakarsa),55,10,37,73,11,73,O3,SEDANG
2019-04-29,DKI3 (Jagakarsa),49,10,24,130,11,130,O3,TIDAK SEHAT
2019-04-30,DKI3 (Jagakarsa),49,10,14,111,17,111,O3,TIDAK SEHAT
2019-04-01,DKI4 (Lubang Buaya),59,21,37,93,10,93,O3,SEDANG
2019-04-02,DKI4 (Lubang Buaya),58,21,34,76,12,76,O3,SEDANG
2019-04-03,DKI4 (Lubang Buaya),59,21,31,56,9,59,PM10,SEDANG
2019-04-04,DKI4 (Lubang Buaya),58,21,23,71,8,71,O3,SEDANG
2019-04-05,DKI4 (Lubang Buaya),57,25,12,49,11,57,PM10,SEDANG
2019-04-06,DKI4 (Lubang Buaya),48,21,---,96,9,96,O3,SEDANG
2019-04-07,DKI4 (Lubang Buaya),60,21,---,62,10,62,O3,SEDANG
2019-04-08,DKI4 (Lubang Buaya),53,22,---,127,11,127,O3,TIDAK SEHAT
2019-04-09,DKI4 (Lubang Buaya),60,25,---,86,18,86,O3,SEDANG
2019-04-10,DKI4 (Lubang Buaya),82,25,31,118,19,118,O3,TIDAK SEHAT
2019-04-11,DKI4 (Lubang Buaya),54,22,20,125,8,125,O3,TIDAK SEHAT
2019-04-12,DKI4 (Lubang Buaya),50,22,38,46,8,50,PM10,BAIK
2019-04-13,DKI4 (Lubang Buaya),44,21,42,55,9,55,O3,SEDANG
2019-04-14,DKI4 (Lubang Buaya),45,22,37,91,9,91,O3,SEDANG
2019-04-15,DKI4 (Lubang Buaya),64,22,39,83,10,83,O3,SEDANG
2019-04-16,DKI4 (Lubang Buaya),62,22,43,109,11,109,O3,TIDAK SEHAT
