tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-07-11,DKI3 (Jagakarsa),65,14,14,63,9,65,PM10,SEDANG
2019-07-12,DKI3 (Jagakarsa),58,13,15,77,11,77,O3,SEDANG
2019-07-13,DKI3 (Jagakarsa),49,12,11,88,10,88,O3,SEDANG
2019-07-14,DKI3 (Jagakarsa),74,14,19,134,12,134,O3,TIDAK SEHAT
2019-07-15,DKI3 (Jagakarsa),67,13,22,77,18,77,O3,SEDANG
2019-07-16,DKI3 (Jagakarsa),78,12,15,83,10,83,O3,SEDANG
2019-07-17,DKI3 (Jagakarsa),64,12,12,89,12,89,O3,SEDANG
2019-07-18,DKI3 (Jagakarsa),65,13,13,87,11,87,O3,SEDANG
2019-07-19,DKI3 (Jagakarsa),63,15,13,51,11,63,PM10,SEDANG
2019-07-20,DKI3 (Jagakarsa),67,13,13,87,9,87,O3,SEDANG
2019-07-21,DKI3 (Jagakarsa),79,13,14,90,9,90,O3,SEDANG
2019-07-22,DKI3 (Jagakarsa),71,12,14,107,10,107,O3,TIDAK SEHAT
2019-07-23,DKI3 (Jagakarsa),75,14,19,78,12,78,O3,SEDANG
2019-07-24,DKI3 (Jagakarsa),64,13,14,92,11,92,O3,SEDANG
2019-07-25,DKI3 (Jagakarsa),76,13,37,98,16,98,O3,SEDANG
2019-07-26,DKI3 (Jagakarsa),64,14,11,96,9,96,O3,SEDANG
2019-07-27,DKI3 (Jagakarsa),62,12,11,94,7,94,O3,SEDANG
2019-07-28,DKI3 (Jagakarsa),73,13,15,104,9,104,O3,TIDAK SEHAT
2019-07-29,DKI3 (Jagakarsa),74,11,17,129,9,129,O3,TIDAK SEHAT
2019-07-30,DKI3 (Jagakarsa),77,12,26,81,15,81,O3,SEDANG
2019-07-31,DKI3 (Jagakarsa),71,13,23,94,10,94,O3,SEDANG
2019-07-01,DKI4 (Lubang Buaya),64,26,12,96,12,96,O3,SEDANG
2019-07-02,DKI4 (Lubang Buaya),71,26,13,88,11,88,O3,SEDANG
2019-07-03,DKI4 (Lubang Buaya),63,28,15,77,10,77,O3,SEDANG
2019-07-04,DKI4 (Lubang Buaya),77,25,14,60,9,77,PM10,SEDANG
2019-07-05,DKI4 (Lubang Buaya),67,26,15,75,10,75,O3,SEDANG
2019-07-06,DKI4 (Lubang Buaya),61,26,13,69,13,69,O3,SEDANG
2019-07-07,DKI4 (Lubang Buaya),55,26,6,51,6,55,PM10,SEDANG
2019-07-08,DKI4 (Lubang Buaya),55,27,8,72,6,72,O3,SEDANG
2019-07-09,DKI4 (Lubang Buaya),69,26,13,82,18,82,O3,SEDANG
2019-07-10,DKI4 (Lubang Buaya),64,31,11,85,15,85,O3,SEDANG
2019-07-11,DKI4 (Lubang Buaya),71,28,16,52,12,71,PM10,SEDANG
2019-07-12,DKI4 (Lubang Buaya),67,28,17,60,13,67,PM10,SEDANG
2019-07-13,DKI4 (Lubang Buaya),57,27,11,163,9,163,O3,TIDAK SEHAT
2019-07-14,DKI4 (Lubang Buaya),80,29,16,160,9,160,O3,TIDAK SEHAT
2019-07-15,DKI4 (Lubang Buaya),65,26,13,62,9,65,PM10,SEDANG
2019-07-16,DKI4 (Lubang Buaya),76,27,16,92,12,92,O3,SEDANG
2019-07-17,DKI4 (Lubang Buaya),59,27,11,91,12,91,O3,SEDANG
2019-07-18,DKI4 (Lubang Buaya),64,27,15,69,9,69,O3,SEDANG
2019-07-19,DKI4 (Lubang Buaya),63,28,16,46,12,63,PM10,SEDANG
2019-07-20,DKI4 (Lubang Buaya),64,27,13,78,9,78,O3,SEDANG
2019-07-21,DKI4 (Lubang Buaya),60,27,10,86,5,86,O3,SEDANG
2019-07-22,DKI4 (Lubang Buaya),61,25,14,104,7,104,O3,TIDAK SEHAT
2019-07-23,DKI4 (Lubang Buaya),83,28,20,77,12,83,PM10,SEDANG
2019-07-24,DKI4 (Lubang Buaya),72,28,12,---,8,72,PM10,SEDANG
2019-07-25,DKI4 (Lubang Buaya),69,28,17,---,10,69,PM10,SEDANG
2019-07-26,DKI4 (Lubang Buaya),69,28,9,65,10,69,PM10,SEDANG
2019-07-27,DKI4 (Lubang Buaya),66,27,9,79,8,79,O3,SEDANG
2019-07-28,DKI4 (Lubang Buaya),90,27,14,115,9,115,O3,TIDAK SEHAT
2019-07-29,DKI4 (Lubang Buaya),74,27,13,100,10,100,O3,SEDANG
2019-07-30,DKI4 (Lubang Buaya),83,27,23,75,10,83,PM10,SEDANG
2019-07-31,DKI4 (Lubang Buaya),68,28,13,77,10,77,O3,SEDANG
2019-07-01,DKI5 (Kebon Jeruk) Jakarta Barat,---,21,15,85,9,85,O3,SEDANG
2019-07-02,DKI5 (Kebon Jeruk) Jakarta Barat,---,20,14,108,7,108,O3,TIDAK SEHAT
2019-07-03,DKI5 (Kebon Jeruk) Jakarta Barat,---,26,18,87,8,87,O3,SEDANG
2019-07-04,DKI5 (Kebon Jeruk) Jakarta Barat,---,22,19,61,11,61,O3,SEDANG
2019-07-05,DKI5 (Kebon Jeruk) Jakarta Barat,---,19,17,74,11,74,O3,SEDANG
2019-07-06,DKI5 (Kebon Jeruk) Jakarta Barat,62,18,20,71,12,71,O3,SEDANG
2019-07-07,DKI5 (Kebon Jeruk) Jakarta Barat,50,21,10,48,6,50,PM10,BAIK
