tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-02-01,DKI1 (Bunderan HI),29,8,19,27,14,29,PM10,BAIK
2020-02-02,DKI1 (Bunderan HI),37,10,24,28,12,37,PM10,BAIK
2020-02-03,DKI1 (Bunderan HI),39,8,37,19,15,39,PM10,BAIK
2020-02-04,DKI1 (Bunderan HI),24,8,29,21,14,29,CO,BAIK
2020-02-05,DKI1 (Bunderan HI),43,8,30,29,12,43,PM10,BAIK
2020-02-06,DKI1 (Bunderan HI),50,9,26,32,18,50,PM10,BAIK
2020-02-07,DKI1 (Bunderan HI),51,19,28,25,16,51,PM10,SEDANG
2020-02-08,DKI1 (Bunderan HI),29,8,24,26,12,29,PM10,BAIK
2020-02-09,DKI1 (Bunderan HI),35,7,18,33,12,35,PM10,BAIK
2020-02-10,DKI1 (Bunderan HI),38,8,25,51,15,51,O3,SEDANG
2020-02-11,DKI1 (Bunderan HI),53,9,24,31,16,53,PM10,SEDANG
2020-02-12,DKI1 (Bunderan HI),47,10,18,68,19,68,O3,SEDANG
2020-02-13,DKI1 (Bunderan HI),43,7,16,39,20,43,PM10,BAIK
2020-02-14,DKI1 (Bunderan HI),51,6,25,21,18,51,PM10,SEDANG
2020-02-15,DKI1 (Bunderan HI),60,7,51,53,17,60,PM10,SEDANG
2020-02-16,DKI1 (Bunderan HI),52,7,24,41,16,52,PM10,SEDANG
2020-02-17,DKI1 (Bunderan HI),24,5,18,28,12,28,O3,BAIK
2020-02-18,DKI1 (Bunderan HI),45,16,48,23,15,48,CO,BAIK
2020-02-19,DKI1 (Bunderan HI),38,8,27,17,11,38,PM10,BAIK
2020-02-20,DKI1 (Bunderan HI),30,5,16,20,13,30,PM10,BAIK
2020-02-21,DKI1 (Bunderan HI),35,11,15,22,14,35,PM10,BAIK
2020-02-22,DKI1 (Bunderan HI),31,8,16,30,13,31,PM10,BAIK
2020-02-23,DKI1 (Bunderan HI),28,5,5,29,9,29,O3,BAIK
2020-02-24,DKI1 (Bunderan HI),20,4,10,27,9,27,O3,BAIK
2020-02-25,DKI1 (Bunderan HI),19,5,14,25,13,25,O3,BAIK
2020-02-26,DKI1 (Bunderan HI),42,5,15,27,13,42,PM10,BAIK
2020-02-27,DKI1 (Bunderan HI),33,5,16,22,13,33,PM10,BAIK
2020-02-28,DKI1 (Bunderan HI),---,6,17,25,16,25,O3,BAIK
