tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-04-01,DKI1 (Bunderan HI),38,6,12,67,10,67,O3,SEDANG
2020-04-02,DKI1 (Bunderan HI),32,4,6,33,7,33,O3,BAIK
2020-04-03,DKI1 (Bunderan HI),30,5,4,33,5,33,O3,BAIK
2020-04-04,DKI1 (Bunderan HI),42,6,8,47,7,47,O3,BAIK
2020-04-05,DKI1 (Bunderan HI),50,4,6,63,8,63,O3,SEDANG
2020-04-06,DKI1 (Bunderan HI),45,4,8,37,9,45,PM10,BAIK
2020-04-07,DKI1 (Bunderan HI),26,3,11,35,9,35,O3,BAIK
2020-04-08,DKI1 (Bunderan HI),26,5,5,31,7,31,O3,BAIK
2020-04-09,DKI1 (Bunderan HI),36,3,5,27,10,36,PM10,BAIK
2020-04-10,DKI1 (Bunderan HI),50,2,7,71,10,71,O3,SEDANG
2020-04-11,DKI1 (Bunderan HI),48,2,6,88,6,88,O3,SEDANG
2020-04-12,DKI1 (Bunderan HI),65,3,14,86,13,86,O3,SEDANG
2020-04-13,DKI1 (Bunderan HI),40,2,8,46,9,46,O3,BAIK
2020-04-14,DKI1 (Bunderan HI),48,4,8,51,10,51,O3,SEDANG
2020-04-15,DKI1 (Bunderan HI),40,2,8,46,11,46,O3,BAIK
2020-04-16,DKI1 (Bunderan HI),34,3,7,41,9,41,O3,BAIK
2020-04-17,DKI1 (Bunderan HI),43,2,8,54,9,54,O3,SEDANG
2020-04-18,DKI1 (Bunderan HI),43,4,5,72,7,72,O3,SEDANG
2020-04-19,DKI1 (Bunderan HI),59,5,7,87,9,87,O3,SEDANG
2020-04-20,DKI1 (Bunderan HI),60,3,---,73,7,73,O3,SEDANG
2020-04-21,DKI1 (Bunderan HI),46,4,---,35,10,46,PM10,BAIK
2020-04-22,DKI1 (Bunderan HI),74,14,6,47,11,74,PM10,SEDANG
2020-04-23,DKI1 (Bunderan HI),45,5,5,43,7,45,PM10,BAIK
2020-04-24,DKI1 (Bunderan HI),43,4,3,27,8,43,PM10,BAIK
2020-04-25,DKI1 (Bunderan HI),46,3,7,45,8,46,PM10,BAIK
2020-04-26,DKI1 (Bunderan HI),57,3,5,45,8,57,PM10,SEDANG
2020-04-27,DKI1 (Bunderan HI),36,1,4,71,8,71,O3,SEDANG
