tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,
2019-11-02,DKI3 (Jagakarsa),32,12,16,48,---,48,O3,BAIK,
2019-11-03,DKI3 (Jagakarsa),25,12,11,82,---,82,O3,SEDANG,
2019-11-04,DKI3 (Jagakarsa),33,12,14,91,8,91,O3,SEDANG,
2019-11-05,DKI3 (Jagakarsa),54,13,19,112,8,112,O3,TIDAK SEHAT,
2019-11-06,DKI3 (Jagakarsa),51,12,27,119,13,119,O3,TIDAK SEHAT,
2019-11-07,DKI3 (Jagakarsa),61,13,24,131,12,131,O3,TIDAK SEHAT,
2019-11-08,DKI3 (Jagakarsa),69,15,26,147,19,147,O3,TIDAK SEHAT,
2019-11-09,DKI3 (Jagakarsa),76,14,15,137,7,137,O3,TIDAK SEHAT,
2019-11-10,DKI3 (Jagakarsa),61,15,---,148,15,148,O3,TIDAK SEHAT,
2019-11-11,DKI3 (Jagakarsa),46,12,---,108,11,108,O3,TIDAK SEHAT,
2019-11-12,DKI3 (Jagakarsa),59,11,22,98,12,98,O3,SEDANG,
2019-11-13,DKI3 (Jagakarsa),65,12,34,64,12,65,PM10,SEDANG,
2019-11-14,DKI3 (Jagakarsa),39,12,24,46,8,46,O3,BAIK,
2019-11-15,DKI3 (Jagakarsa),57,13,25,90,11,90,O3,SEDANG,
2019-11-16,DKI3 (Jagakarsa),38,12,---,81,6,81,O3,SEDANG,
2019-11-17,DKI3 (Jagakarsa),46,13,---,99,9,99,O3,SEDANG,
2019-11-18,DKI3 (Jagakarsa),55,13,---,77,7,77,O3,SEDANG,
2019-11-19,DKI3 (Jagakarsa),54,12,20,73,7,73,O3,SEDANG,
2019-11-20,DKI3 (Jagakarsa),41,11,18,134,12,134,O3,TIDAK SEHAT,
2019-11-21,DKI3 (Jagakarsa),51,12,20,102,14,102,O3,TIDAK SEHAT,
2019-11-22,DKI3 (Jagakarsa),52,11,27,80,8,80,O3,SEDANG,
2019-11-23,DKI3 (Jagakarsa),63,12,24,112,13,112,O3,TIDAK SEHAT,
2019-11-24,DKI3 (Jagakarsa),57,11,27,113,7,113,O3,TIDAK SEHAT,
2019-11-25,DKI3 (Jagakarsa),53,11,23,108,8,108,O3,TIDAK SEHAT,
2019-11-26,DKI3 (Jagakarsa),58,12,29,110,15,110,O3,TIDAK SEHAT,
2019-11-27,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA,
2019-11-28,DKI3 (Jagakarsa),48,9,28,106,9,106,O3,TIDAK SEHAT,
2019-11-29,DKI3 (Jagakarsa),45,8,25,107,11,107,O3,TIDAK SEHAT,
2019-11-30,DKI3 (Jagakarsa),52,8,26,88,8,88,O3,SEDANG,
2019-11-01,DKI4 (Lubang Buaya),48,34,6,82,11,82,O3,SEDANG,
2019-11-02,DKI4 (Lubang Buaya),35,32,17,54,11,54,O3,SEDANG,
2019-11-03,DKI4 (Lubang Buaya),47,34,9,78,6,78,O3,SEDANG,
2019-11-04,DKI4 (Lubang Buaya),44,34,9,93,8,93,O3,SEDANG,
2019-11-05,DKI4 (Lubang Buaya),56,34,7,123,11,123,O3,TIDAK SEHAT,
2019-11-06,DKI4 (Lubang Buaya),56,33,17,155,11,155,O3,TIDAK SEHAT,
2019-11-07,DKI4 (Lubang Buaya),60,35,22,124,7,124,O3,TIDAK SEHAT,
2019-11-08,DKI4 (Lubang Buaya),72,35,17,150,11,150,O3,TIDAK SEHAT,
2019-11-09,DKI4 (Lubang Buaya),67,38,10,153,6,153,O3,TIDAK SEHAT,
2019-11-10,DKI4 (Lubang Buaya),70,35,14,132,7,132,O3,TIDAK SEHAT,
2019-11-11,DKI4 (Lubang Buaya),65,36,10,162,7,162,O3,TIDAK SEHAT,
2019-11-12,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA,
2019-11-13,DKI4 (Lubang Buaya),80,35,29,75,14,80,PM10,SEDANG,
2019-11-14,DKI4 (Lubang Buaya),66,34,32,60,6,66,PM10,SEDANG,
2019-11-15,DKI4 (Lubang Buaya),65,37,19,94,6,94,O3,SEDANG,
2019-11-16,DKI4 (Lubang Buaya),56,36,11,78,8,78,O3,SEDANG,
2019-11-17,DKI4 (Lubang Buaya),63,35,13,100,7,100,O3,SEDANG,
2019-11-18,DKI4 (Lubang Buaya),36,35,10,71,6,71,O3,SEDANG,
2019-11-19,DKI4 (Lubang Buaya),55,35,8,56,4,56,O3,SEDANG,
2019-11-20,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA,
2019-11-21,DKI4 (Lubang Buaya),55,36,6,89,4,89,O3,SEDANG,
2019-11-22,DKI4 (Lubang Buaya),52,35,18,88,9,88,O3,SEDANG,
2019-11-23,DKI4 (Lubang Buaya),53,36,14,100,11,100,O3,SEDANG,
2019-11-24,DKI4 (Lubang Buaya),59,37,23,90,11,90,O3,SEDANG,
2019-11-25,DKI4 (Lubang Buaya),57,36,14,93,7,93,O3,SEDANG,
2019-11-26,DKI4 (Lubang Buaya),67,35,21,70,7,70,O3,SEDANG,
2019-11-27,DKI4 (Lubang Buaya),59,34,38,53,10,59,PM10,SEDANG,
2019-11-28,DKI4 (Lubang Buaya),67,36,26,89,9,89,O3,SEDANG,
2019-11-29,DKI4 (Lubang Buaya),53,35,14,124,7,124,O3,TIDAK SEHAT,
2019-11-30,DKI4 (Lubang Buaya),---,34,16,111,8,111,O3,TIDAK SEHAT,
2019-11-01,DKI5 (Kebon Jeruk) Jakarta Barat,53,21,5,120,5,120,O3,TIDAK SEHAT,
2019-11-02,DKI5 (Kebon Jeruk) Jakarta Barat,52,20,10,83,10,83,O3,SEDANG,
2019-11-03,DKI5 (Kebon Jeruk) Jakarta Barat,51,20,7,92,7,92,O3,SEDANG,
2019-11-04,DKI5 (Kebon Jeruk) Jakarta Barat,50,19,5,107,5,107,O3,TIDAK SEHAT,
2019-11-05,DKI5 (Kebon Jeruk) Jakarta Barat,58,20,11,193,12,193,O3,TIDAK SEHAT,
2019-11-06,DKI5 (Kebon Jeruk) Jakarta Barat,61,20,14,156,13,156,O3,TIDAK SEHAT,
2019-11-07,DKI5 (Kebon Jeruk) Jakarta Barat,58,24,8,209,11,209,O3,SANGAT TIDAK SEHAT,
2019-11-08,DKI5 (Kebon Jeruk) Jakarta Barat,69,21,12,149,11,149,O3,TIDAK SEHAT,
2019-11-09,DKI5 (Kebon Jeruk) Jakarta Barat,60,25,10,220,12,220,O3,SANGAT TIDAK SEHAT,
2019-11-10,DKI5 (Kebon Jeruk) Jakarta Barat,63,32,11,183,7,183,O3,TIDAK SEHAT,
2019-11-11,DKI5 (Kebon Jeruk) Jakarta Barat,61,25,7,125,10,125,O3,TIDAK SEHAT,
2019-11-12,DKI5 (Kebon Jeruk) Jakarta Barat,64,22,7,134,9,134,O3,TIDAK SEHAT,
2019-11-13,DKI5 (Kebon Jeruk) Jakarta Barat,73,22,---,125,10,125,O3,TIDAK SEHAT,
2019-11-14,DKI5 (Kebon Jeruk) Jakarta Barat,74,21,---,58,11,74,PM10,SEDANG,
2019-11-15,DKI5 (Kebon Jeruk) Jakarta Barat,64,33,33,73,9,73,O3,SEDANG,
2019-11-16,DKI5 (Kebon Jeruk) Jakarta Barat,53,22,18,68,7,68,O3,SEDANG,
2019-11-17,DKI5 (Kebon Jeruk) Jakarta Barat,59,21,20,126,8,126,O3,TIDAK SEHAT,
2019-11-18,DKI5 (Kebon Jeruk) Jakarta Barat,60,20,17,165,7,165,O3,TIDAK SEHAT,
2019-11-19,DKI5 (Kebon Jeruk) Jakarta Barat,59,20,21,100,6,100,O3,SEDANG,
2019-11-20,DKI5 (Kebon Jeruk) Jakarta Barat,50,19,18,134,6,134,O3,TIDAK SEHAT,
2019-11-21,DKI5 (Kebon Jeruk) Jakarta Barat,55,24,21,94,12,94,O3,SEDANG,
2019-11-22,DKI5 (Kebon Jeruk) Jakarta Barat,57,20,22,99,12,99,O3,SEDANG,
2019-11-23,DKI5 (Kebon Jeruk) Jakarta Barat,85,22,34,146,16,146,O3,TIDAK SEHAT,
2019-11-24,DKI5 (Kebon Jeruk) Jakarta Barat,68,21,25,167,8,167,O3,TIDAK SEHAT,
2019-11-25,DKI5 (Kebon Jeruk) Jakarta Barat,64,20,21,160,7,160,O3,TIDAK SEHAT,
2019-11-26,DKI5 (Kebon Jeruk) Jakarta Barat,77,22,30,125,11,125,O3,TIDAK SEHAT,
2019-11-27,DKI5 (Kebon Jeruk) Jakarta Barat,70,20,29,101,10,101,O3,TIDAK SEHAT,
2019-11-28,DKI5 (Kebon Jeruk) Jakarta Barat,71,---,26,105,11,105,O3,TIDAK SEHAT,
2019-11-29,DKI5 (Kebon Jeruk) Jakarta Barat,63,14,20,122,7,122,O3,TIDAK SEHAT,
2019-11-30,DKI5 (Kebon Jeruk) Jakarta Barat,53,12,20,92,9,92,O3,SEDANG,
