tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-08-11,DKI3 (Jagakarsa),64,13,21,72,8,72,O3,SEDANG
2019-08-12,DKI3 (Jagakarsa),62,13,17,73,9,73,O3,SEDANG
2019-08-13,DKI3 (Jagakarsa),63,12,21,57,9,63,PM10,SEDANG
2019-08-14,DKI3 (Jagakarsa),58,13,19,64,7,64,O3,SEDANG
2019-08-15,DKI3 (Jagakarsa),64,13,22,97,9,97,O3,SEDANG
2019-08-16,DKI3 (Jagakarsa),86,13,48,86,11,86,PM10,SEDANG
2019-08-17,DKI3 (Jagakarsa),64,12,22,119,12,119,O3,TIDAK SEHAT
2019-08-18,DKI3 (Jagakarsa),69,12,25,101,8,101,O3,TIDAK SEHAT
2019-08-19,DKI3 (Jagakarsa),61,13,25,178,10,178,O3,TIDAK SEHAT
2019-08-20,DKI3 (Jagakarsa),59,13,18,160,8,160,O3,TIDAK SEHAT
2019-08-21,DKI3 (Jagakarsa),64,13,20,76,11,76,O3,SEDANG
2019-08-22,DKI3 (Jagakarsa),56,13,20,86,7,86,O3,SEDANG
2019-08-23,DKI3 (Jagakarsa),59,11,25,125,9,125,O3,TIDAK SEHAT
2019-08-24,DKI3 (Jagakarsa),62,14,20,127,8,127,O3,TIDAK SEHAT
2019-08-25,DKI3 (Jagakarsa),51,13,17,127,10,127,O3,TIDAK SEHAT
2019-08-26,DKI3 (Jagakarsa),59,12,17,125,8,125,O3,TIDAK SEHAT
2019-08-27,DKI3 (Jagakarsa),62,12,18,94,16,94,O3,SEDANG
2019-08-28,DKI3 (Jagakarsa),63,11,28,89,10,89,O3,SEDANG
2019-08-29,DKI3 (Jagakarsa),53,12,28,82,12,82,O3,SEDANG
2019-08-30,DKI3 (Jagakarsa),58,13,22,75,9,75,O3,SEDANG
2019-08-31,DKI3 (Jagakarsa),67,13,30,78,15,78,O3,SEDANG
2019-08-01,DKI4 (Lubang Buaya),58,27,10,70,6,70,O3,SEDANG
2019-08-02,DKI4 (Lubang Buaya),67,28,10,81,8,81,O3,SEDANG
2019-08-03,DKI4 (Lubang Buaya),66,28,10,80,7,80,O3,SEDANG
2019-08-04,DKI4 (Lubang Buaya),67,27,8,61,8,67,PM10,SEDANG
2019-08-05,DKI4 (Lubang Buaya),56,28,---,117,---,117,O3,TIDAK SEHAT
2019-08-06,DKI4 (Lubang Buaya),57,29,8,118,9,118,O3,TIDAK SEHAT
2019-08-07,DKI4 (Lubang Buaya),72,28,11,74,11,74,O3,SEDANG
2019-08-08,DKI4 (Lubang Buaya),68,---,12,76,10,76,O3,SEDANG
2019-08-09,DKI4 (Lubang Buaya),65,29,12,71,8,71,O3,SEDANG
2019-08-10,DKI4 (Lubang Buaya),69,29,20,76,9,76,O3,SEDANG
2019-08-11,DKI4 (Lubang Buaya),59,27,9,58,6,59,PM10,SEDANG
2019-08-12,DKI4 (Lubang Buaya),59,27,9,57,9,59,PM10,SEDANG
2019-08-13,DKI4 (Lubang Buaya),66,29,10,53,8,66,PM10,SEDANG
2019-08-14,DKI4 (Lubang Buaya),55,28,7,62,6,62,O3,SEDANG
2019-08-15,DKI4 (Lubang Buaya),69,28,9,102,6,102,O3,TIDAK SEHAT
2019-08-16,DKI4 (Lubang Buaya),88,28,20,99,11,99,O3,SEDANG
2019-08-17,DKI4 (Lubang Buaya),56,27,6,86,6,86,O3,SEDANG
2019-08-18,DKI4 (Lubang Buaya),65,27,11,71,5,71,O3,SEDANG
2019-08-19,DKI4 (Lubang Buaya),---,29,14,185,7,185,O3,TIDAK SEHAT
2019-08-20,DKI4 (Lubang Buaya),65,31,10,139,13,139,O3,TIDAK SEHAT
2019-08-21,DKI4 (Lubang Buaya),68,30,10,53,8,68,PM10,SEDANG
2019-08-22,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA
2019-08-23,DKI4 (Lubang Buaya),81,28,19,97,10,97,O3,SEDANG
2019-08-24,DKI4 (Lubang Buaya),67,28,11,103,6,103,O3,TIDAK SEHAT
2019-08-25,DKI4 (Lubang Buaya),56,29,11,110,5,110,O3,TIDAK SEHAT
2019-08-26,DKI4 (Lubang Buaya),67,30,10,123,5,123,O3,TIDAK SEHAT
2019-08-27,DKI4 (Lubang Buaya),63,29,9,80,7,80,O3,SEDANG
2019-08-28,DKI4 (Lubang Buaya),69,27,12,90,10,90,O3,SEDANG
2019-08-29,DKI4 (Lubang Buaya),76,28,22,80,8,80,O3,SEDANG
2019-08-30,DKI4 (Lubang Buaya),63,30,11,62,7,63,PM10,SEDANG
2019-08-31,DKI4 (Lubang Buaya),66,29,23,65,8,66,PM10,SEDANG
2019-08-01,DKI5 (Kebon Jeruk) Jakarta Barat,57,20,13,115,6,115,O3,TIDAK SEHAT
2019-08-02,DKI5 (Kebon Jeruk) Jakarta Barat,61,20,14,96,7,96,O3,SEDANG
2019-08-03,DKI5 (Kebon Jeruk) Jakarta Barat,66,22,16,92,8,92,O3,SEDANG
2019-08-04,DKI5 (Kebon Jeruk) Jakarta Barat,62,21,14,71,10,71,O3,SEDANG
2019-08-05,DKI5 (Kebon Jeruk) Jakarta Barat,55,21,---,94,13,94,O3,SEDANG
2019-08-06,DKI5 (Kebon Jeruk) Jakarta Barat,54,20,11,92,7,92,O3,SEDANG
2019-08-07,DKI5 (Kebon Jeruk) Jakarta Barat,62,20,14,77,10,77,O3,SEDANG
2019-08-08,DKI5 (Kebon Jeruk) Jakarta Barat,67,22,16,146,9,146,O3,TIDAK SEHAT
2019-08-09,DKI5 (Kebon Jeruk) Jakarta Barat,60,22,13,102,8,102,O3,TIDAK SEHAT
