pm10,so2,co,o3,no2,categori
58,21,23,71,8,0
57,25,12,49,11,0
82,25,31,118,19,2
54,22,20,125,8,2
50,22,38,46,8,1
44,21,42,55,9,0
45,22,37,91,9,0
64,22,39,83,10,0
62,22,43,109,11,2
60,22,27,80,9,0
73,21,16,66,8,0
60,22,13,31,5,0
58,22,12,49,4,0
41,22,12,30,6,1
59,22,22,60,9,0
34,21,12,98,7,0
48,21,14,45,8,1
59,22,22,45,8,0
61,14,26,167,15,2
57,13,35,101,13,2
62,15,42,146,14,2
59,14,16,172,10,2
51,14,18,83,11,0
74,11,38,195,9,2
66,15,35,243,10,3
53,13,18,235,10,3
53,14,16,113,9,2
65,15,19,162,7,2
59,23,13,101,9,2
46,13,17,57,6,0
46,14,16,62,8,0
37,14,18,85,12,0
55,14,24,92,11,0
56,16,26,119,11,2
59,14,39,76,14,0
61,13,26,92,8,0
41,13,19,42,8,1
24,13,15,85,7,0
53,15,27,47,8,0
48,15,24,54,7,0
50,22,15,46,10,1
57,17,16,46,8,0
59,14,45,79,11,0
37,11,18,115,9,2
50,11,38,82,9,0
58,12,46,78,9,0
47,12,28,102,9,2
39,13,21,93,11,0
38,6,12,67,10,0
32,4,6,33,7,1
30,5,4,33,5,1
42,6,8,47,7,1
50,4,6,63,8,0
45,4,8,37,9,1
26,3,11,35,9,1
26,5,5,31,7,1
36,3,5,27,10,1
50,2,7,71,10,0
48,2,6,88,6,0
65,3,14,86,13,0
40,2,8,46,9,1
48,4,8,51,10,0
40,2,8,46,11,1
34,3,7,41,9,1
43,2,8,54,9,0
43,4,5,72,7,0
59,5,7,87,9,0
74,14,6,47,11,0
45,5,5,43,7,1
43,4,3,27,8,1
46,3,7,45,8,1
57,3,5,45,8,0
36,1,4,71,8,0
49,2,7,45,13,1
53,4,6,52,11,0
61,5,6,33,14,0
43,12,14,90,5,0
34,9,5,57,2,0
32,10,7,62,2,0
48,13,11,83,3,0
56,12,9,82,2,0
48,9,11,55,3,0
35,9,14,47,3,1
28,9,5,55,2,0
56,4,10,44,10,0
53,4,11,86,12,0
53,7,9,124,4,2
47,1,8,68,10,0
48,3,10,52,7,0
52,7,12,52,13,0
54,8,14,68,11,0
45,9,11,91,9,0
66,6,15,97,7,0
64,3,9,76,7,0
58,7,11,57,7,0
77,8,17,53,9,0
53,21,7,51,7,0
56,16,7,47,7,0
58,26,17,51,9,0
62,25,12,55,4,0
43,18,9,84,4,0
53,16,13,72,7,0
61,25,14,64,8,0
64,21,23,49,9,0
51,18,35,62,7,0
55,19,22,44,6,0
54,17,22,35,3,0
59,19,25,65,7,0
51,19,19,81,3,0
52,17,29,33,6,0
40,17,23,24,4,1
26,18,13,40,3,1
50,17,19,53,6,0
53,17,26,72,8,0
45,18,18,64,4,0
60,17,31,71,4,0
48,17,17,67,5,0
40,17,22,73,6,0
39,19,19,65,6,0
37,18,17,55,5,0
51,17,19,92,5,0
36,18,15,66,4,0
56,19,20,85,8,0
62,18,20,89,9,0
50,19,17,53,7,0
58,19,26,75,8,0
51,17,17,60,5,0
39,18,22,40,6,1
46,19,29,55,5,0
62,18,23,71,5,0
38,18,18,53,3,0
38,19,22,79,5,0
45,18,19,70,7,0
65,19,37,77,10,0
42,25,11,90,8,0
51,25,10,36,6,0
55,27,14,48,6,0
66,28,22,63,7,0
66,28,14,83,8,0
56,26,18,60,8,0
42,25,17,28,9,1
33,26,10,58,7,0
59,28,13,57,8,0
65,27,19,107,8,2
109,27,13,87,5,2
82,27,24,89,10,0
52,26,13,64,7,0
54,28,13,61,9,0
57,27,15,72,9,0
60,27,16,66,8,0
60,27,19,75,8,0
52,28,12,82,6,0
73,29,17,86,10,0
78,28,13,73,6,0
69,28,14,57,7,0
111,31,25,58,10,2
66,27,13,51,7,0
64,26,25,53,9,0
59,20,14,60,9,0
80,22,26,44,9,0
38,7,17,129,5,2
34,7,7,49,6,1
34,8,6,46,3,1
52,15,9,62,4,0
45,8,18,73,6,0
53,11,12,100,10,0
62,10,15,147,14,2
68,19,18,67,10,0
43,5,11,88,9,0
34,7,5,70,7,0
49,7,15,77,8,0
61,8,16,101,10,2
34,6,6,131,8,2
46,6,14,82,9,0
51,8,16,85,10,0
69,7,36,76,17,0
53,20,17,81,14,0
62,23,20,64,14,0
57,26,17,45,9,0
56,23,15,41,13,0
54,19,19,40,11,0
42,23,14,31,10,1
51,21,22,57,10,0
53,22,18,69,19,0
55,21,18,52,12,0
63,32,22,59,13,0
53,23,15,48,13,0
41,23,9,69,11,0
61,26,20,56,18,0
56,25,16,38,12,0
54,22,22,54,17,0
54,24,17,46,13,0
59,24,19,46,16,0
57,22,28,49,14,0
54,23,20,73,14,0
55,23,23,64,11,0
51,20,11,43,9,0
54,23,19,52,9,0
52,28,21,41,11,0
52,22,28,47,9,0
41,22,14,29,9,1
63,10,27,56,10,0
50,7,12,84,7,0
68,8,20,75,16,0
57,8,15,52,13,0
55,8,14,55,9,0
56,7,20,47,10,0
48,8,13,45,9,1
52,7,18,52,8,0
71,11,24,79,10,0
62,7,19,73,10,0
74,10,22,142,12,2
74,10,28,67,13,0
66,9,16,80,12,0
63,10,19,68,10,0
56,9,19,78,9,0
76,10,19,60,11,0
62,9,15,60,12,0
58,8,24,90,10,0
60,9,19,74,14,0
72,10,20,73,10,0
72,14,27,59,15,0
53,7,16,51,13,0
60,10,27,77,18,0
68,11,23,55,10,0
53,7,9,54,6,0
53,7,22,68,12,0
53,8,25,62,10,0
64,10,25,40,11,0
59,9,21,54,7,0
66,8,28,89,8,0
46,7,14,35,7,1
34,8,30,90,8,0
27,11,21,91,6,0
51,12,28,76,12,0
61,12,29,82,9,0
39,12,22,85,9,0
42,12,25,68,6,0
42,13,20,54,6,0
57,11,22,99,8,0
42,11,23,94,6,0
28,12,18,90,4,0
30,9,28,93,11,0
43,9,30,90,10,0
54,9,30,99,8,0
55,9,35,100,7,0
45,9,32,58,8,0
39,12,34,81,9,0
35,12,26,66,8,0
42,12,26,82,5,0
42,12,34,61,10,0
51,12,36,55,10,0
61,12,55,76,8,0
52,11,23,55,4,0
60,36,12,125,7,2
38,34,12,143,6,2
61,35,14,159,7,2
45,35,9,86,5,0
51,35,17,104,6,2
63,36,11,84,6,0
64,37,16,96,9,0
70,38,19,92,11,0
68,37,24,109,9,2
51,36,13,77,8,0
56,37,16,66,5,0
58,37,13,46,4,0
55,38,17,84,7,0
58,37,21,51,8,0
64,38,17,61,6,0
77,37,26,70,4,0
49,37,16,52,5,0
54,13,27,99,8,0
47,13,18,136,4,2
63,20,21,107,7,2
58,23,19,76,7,0
61,22,20,73,9,0
43,19,17,49,7,1
56,17,29,84,9,0
64,16,30,155,10,2
63,15,24,87,9,0
74,17,31,184,11,2
59,15,26,72,11,0
71,30,29,107,11,2
53,15,22,89,9,0
52,20,18,99,5,0
64,23,22,88,9,0
55,21,20,75,9,0
45,15,25,140,9,2
60,19,24,69,11,0
62,19,24,74,15,0
66,16,27,95,12,0
50,15,21,94,7,0
58,15,30,99,7,0
57,18,34,105,9,2
53,14,21,73,8,0
51,19,22,91,6,0
51,27,24,80,8,0
43,16,31,57,11,0
56,17,27,69,7,0
65,16,39,73,5,0
51,16,20,48,5,0
61.0,20.0,47.0,93.0,9.0,0
61.0,37.0,47.0,31.0,10.0,0
51.0,26.0,16.0,37.0,7.0,0
54.0,22.0,27.0,31.0,6.0,0
45.0,20.0,29.0,30.0,7.0,1
49.0,26.0,20.0,24.0,11.0,1
59.0,25.0,34.0,65.0,10.0,0
45.0,17.0,23.0,132.0,13.0,2
57.0,18.0,20.0,144.0,9.0,2
56.0,21.0,22.0,64.0,11.0,0
30.0,17.0,19.0,60.0,7.0,0
52.0,14.0,33.0,17.0,18.0,0
53.0,14.0,35.0,28.0,15.0,0
31.0,13.0,19.0,22.0,9.0,1
18.0,13.0,15.0,51.0,10.0,0
24.0,17.0,13.0,46.0,10.0,1
41.0,21.0,25.0,41.0,18.0,1
64.0,20.0,26.0,48.0,21.0,0
56.0,14.0,34.0,22.0,21.0,0
37.0,14.0,28.0,19.0,17.0,1
49.0,14.0,32.0,16.0,19.0,1
32.0,12.0,24.0,56.0,15.0,0
48.0,12.0,29.0,46.0,14.0,1
36.0,12.0,23.0,49.0,11.0,1
48.0,14.0,25.0,25.0,14.0,1
55.0,14.0,24.0,22.0,17.0,0
42.0,13.0,22.0,28.0,13.0,1
51.0,20.0,39.0,45.0,12.0,0
51.0,22.0,20.0,37.0,14.0,0
43.0,21.0,10.0,35.0,13.0,1
46.0,27.0,24.0,30.0,10.0,1
47.0,20.0,20.0,36.0,10.0,1
34.0,20.0,9.0,31.0,13.0,1
70.0,39.0,30.0,47.0,19.0,0
63.0,44.0,15.0,56.0,16.0,0
59.0,24.0,18.0,75.0,22.0,0
56.0,23.0,16.0,56.0,17.0,0
24.0,19.0,7.0,50.0,16.0,1
56.0,34.0,24.0,44.0,17.0,0
54.0,26.0,20.0,34.0,17.0,0
70.0,35.0,25.0,47.0,17.0,0
43.0,23.0,8.0,32.0,14.0,1
26.0,21.0,6.0,38.0,12.0,1
22.0,19.0,6.0,63.0,6.0,0
50.0,23.0,14.0,64.0,22.0,0
71.0,26.0,18.0,70.0,17.0,0
60.0,24.0,17.0,45.0,23.0,0
65.0,26.0,14.0,47.0,18.0,0
60.0,34.0,18.0,38.0,17.0,0
42.0,22.0,13.0,91.0,13.0,0
57.0,26.0,18.0,73.0,13.0,0
52.0,28.0,14.0,64.0,12.0,0
60.0,29.0,11.0,44.0,14.0,0
58.0,22.0,10.0,46.0,13.0,0
38.0,21.0,4.0,54.0,8.0,0
41.0,9.0,27.0,63.0,9.0,0
57.0,9.0,42.0,79.0,10.0,0
55.0,10.0,28.0,95.0,8.0,0
56.0,9.0,20.0,86.0,7.0,0
57.0,9.0,36.0,80.0,6.0,0
42.0,9.0,14.0,75.0,6.0,0
55.0,9.0,21.0,65.0,9.0,0
55.0,10.0,15.0,94.0,18.0,0
58.0,9.0,14.0,80.0,8.0,0
57.0,9.0,15.0,81.0,6.0,0
34.0,9.0,11.0,71.0,6.0,0
67.0,9.0,43.0,71.0,13.0,0
53.0,9.0,35.0,91.0,12.0,0
54.0,9.0,17.0,89.0,12.0,0
42.0,9.0,10.0,111.0,6.0,2
55.0,9.0,19.0,79.0,8.0,0
44.0,12.0,14.0,88.0,8.0,0
70.0,11.0,31.0,118.0,14.0,2
58.0,10.0,41.0,67.0,11.0,0
69.0,9.0,29.0,86.0,13.0,0
48.0,11.0,18.0,77.0,9.0,0
37.0,9.0,13.0,95.0,13.0,0
56.0,9.0,25.0,88.0,13.0,0
59.0,9.0,32.0,115.0,12.0,2
50.0,10.0,21.0,88.0,13.0,0
64.0,11.0,17.0,67.0,10.0,0
56.0,11.0,12.0,91.0,5.0,0
39.0,19.0,31.0,48.0,7.0,1
49.0,20.0,46.0,54.0,9.0,0
64.0,20.0,34.0,46.0,6.0,0
47.0,19.0,23.0,37.0,5.0,1
43.0,19.0,29.0,36.0,6.0,1
36.0,20.0,17.0,41.0,6.0,1
57.0,21.0,24.0,35.0,7.0,0
53.0,23.0,19.0,79.0,10.0,0
55.0,21.0,25.0,52.0,8.0,0
51.0,20.0,25.0,50.0,7.0,0
63.0,21.0,26.0,34.0,9.0,0
73.0,20.0,36.0,59.0,10.0,0
54.0,20.0,15.0,39.0,7.0,0
27.0,20.0,11.0,72.0,10.0,0
32.0,20.0,20.0,65.0,12.0,0
47.0,20.0,31.0,72.0,9.0,0
72.0,23.0,30.0,78.0,12.0,0
63.0,22.0,22.0,70.0,12.0,0
55.0,21.0,25.0,61.0,8.0,0
56.0,20.0,34.0,40.0,12.0,0
33.0,20.0,14.0,100.0,9.0,0
51.0,20.0,27.0,86.0,8.0,0
54.0,20.0,23.0,78.0,9.0,0
61.0,22.0,18.0,52.0,7.0,0
64.0,21.0,17.0,45.0,7.0,0
36.0,21.0,16.0,27.0,7.0,1
54.0,12.0,41.0,43.0,9.0,0
56.0,18.0,47.0,58.0,11.0,0
35.0,20.0,15.0,56.0,8.0,0
48.0,14.0,20.0,53.0,5.0,0
49.0,13.0,26.0,47.0,6.0,1
52.0,18.0,14.0,43.0,8.0,0
48.0,16.0,16.0,43.0,9.0,1
35.0,15.0,13.0,65.0,10.0,0
53.0,16.0,19.0,62.0,6.0,0
59.0,19.0,28.0,56.0,8.0,0
37.0,14.0,9.0,52.0,4.0,0
55.0,13.0,34.0,48.0,9.0,0
55.0,13.0,23.0,45.0,13.0,0
63.0,15.0,39.0,56.0,12.0,0
45.0,12.0,15.0,34.0,7.0,1
25.0,12.0,10.0,56.0,6.0,0
27.0,14.0,9.0,59.0,7.0,0
51.0,20.0,17.0,65.0,8.0,0
68.0,16.0,25.0,123.0,14.0,2
69.0,14.0,25.0,57.0,14.0,0
57.0,12.0,25.0,64.0,15.0,0
41.0,14.0,21.0,69.0,15.0,0
40.0,12.0,16.0,102.0,12.0,2
54.0,12.0,27.0,80.0,14.0,0
49.0,12.0,20.0,93.0,11.0,0
45.0,16.0,25.0,67.0,13.0,0
51.0,14.0,19.0,66.0,16.0,0
40.0,10.0,12.0,98.0,7.0,0
29,8,19,27,14,1
37,10,24,28,12,1
39,8,37,19,15,1
24,8,29,21,14,1
43,8,30,29,12,1
50,9,26,32,18,1
51,19,28,25,16,0
29,8,24,26,12,1
35,7,18,33,12,1
38,8,25,51,15,0
53,9,24,31,16,0
47,10,18,68,19,0
43,7,16,39,20,1
51,6,25,21,18,0
60,7,51,53,17,0
52,7,24,41,16,0
24,5,18,28,12,1
45,16,48,23,15,1
38,8,27,17,11,1
30,5,16,20,13,1
35,11,15,22,14,1
31,8,16,30,13,1
28,5,5,29,9,1
20,4,10,27,9,1
19,5,14,25,13,1
42,5,15,27,13,1
33,5,16,22,13,1
59,7,40,18,13,0
50,9,14,30,6,1
36,9,19,33,6,1
49,9,37,27,9,1
36,7,12,31,7,1
63,9,19,42,8,0
54,9,22,45,8,0
20,7,11,45,7,1
37,8,18,43,7,1
43,7,20,91,13,0
75,12,19,67,9,0
65,9,14,76,9,0
63,13,10,80,7,0
64,8,37,34,12,0
70,13,23,51,7,0
26,7,13,51,5,0
46,10,25,30,9,1
33,8,15,29,6,1
25,7,11,32,5,1
30,8,15,29,7,1
48,8,11,32,6,1
20,7,7,34,3,1
28,7,4,35,3,1
26,7,7,31,5,1
34,8,14,32,8,1
43,8,13,30,8,1
42,8,12,26,8,1
60,11,32,28,10,0
44,15,39,38,10,1
38,15,35,45,8,1
41,15,50,37,8,1
67,14,57,49,12,0
55,14,26,45,8,0
51,14,28,50,7,0
26,14,20,48,10,1
46,14,35,46,11,1
53,16,26,45,9,0
48,16,19,126,6,2
55,16,23,68,9,0
57,15,36,56,8,0
62,15,46,108,8,2
52,17,35,55,15,0
38,16,30,59,10,0
51,16,47,58,11,0
53,16,28,35,6,0
43,15,21,35,7,1
33,15,25,38,7,1
55,14,75,41,11,0
49,15,27,49,6,1
48,16,40,38,10,1
50,15,33,48,13,1
51,16,52,45,10,0
57,30,14,33,3,0
52,30,16,36,3,0
59,30,40,35,3,0
43,30,32,32,5,1
59,30,36,41,4,0
59,30,16,33,3,0
74,30,11,66,3,0
47,30,23,38,4,1
51,31,22,76,4,0
69,32,24,98,7,0
74,26,47,191,7,2
67,23,27,118,4,2
43,21,22,170,4,2
62,23,32,93,4,0
54,22,20,51,3,0
30,20,11,68,3,0
34,20,22,80,4,0
58,19,34,85,4,0
40,19,15,92,4,0
52,19,21,89,5,0
54,18,20,84,2,0
56,21,27,104,6,2
64,22,41,78,7,0
37,14,28,73,6,0
33,16,27,64,7,0
51,15,38,46,9,0
34,14,31,51,9,0
63,16,37,52,6,0
48,19,23,50,9,1
55,28,22,46,6,0
26,15,22,67,6,0
48,15,24,50,6,1
